Code,Treatment,Repet,Tree,Fruit,Nseeds,FrDiam,Block,TreeCode
A111,A,01,01,1,0,60.21,Block_1,A0101
A112,A,01,01,2,0,55.18,Block_1,A0101
A113,A,01,01,3,0,50.74,Block_1,A0101
A114,A,01,01,4,0,60.51,Block_1,A0101
A115,A,01,01,5,0,52.67,Block_1,A0101
A116,A,01,01,6,1,51.26,Block_1,A0101
A117,A,01,01,7,1,52.91,Block_1,A0101
A118,A,01,01,8,0,50.98,Block_1,A0101
A119,A,01,01,9,0,49.49,Block_1,A0101
A1110,A,01,01,10,0,48.8,Block_1,A0101
A121,A,01,02,1,0,63.32,Block_1,A0102
A122,A,01,02,2,2,62.33,Block_1,A0102
A123,A,01,02,3,0,65.42,Block_1,A0102
A124,A,01,02,4,0,60.78,Block_1,A0102
A125,A,01,02,5,1,57.67,Block_1,A0102
A126,A,01,02,6,4,59.32,Block_1,A0102
A127,A,01,02,7,2,60.65,Block_1,A0102
A128,A,01,02,8,6,71.69,Block_1,A0102
A129,A,01,02,9,1,60.62,Block_1,A0102
A1210,A,01,02,10,2,64.94,Block_1,A0102
A211,A,02,01,1,,,Block_1,A0201
A212,A,02,01,2,,,Block_1,A0201
A213,A,02,01,3,,,Block_1,A0201
A214,A,02,01,4,,,Block_1,A0201
A215,A,02,01,5,,,Block_1,A0201
A216,A,02,01,6,,,Block_1,A0201
A217,A,02,01,7,,,Block_1,A0201
A218,A,02,01,8,,,Block_1,A0201
A219,A,02,01,9,,,Block_1,A0201
A2110,A,02,01,10,,,Block_1,A0201
A221,A,02,02,1,1,64.27,Block_1,A0202
A222,A,02,02,2,1,58.31,Block_1,A0202
A223,A,02,02,3,0,58.99,Block_1,A0202
A224,A,02,02,4,1,56.28,Block_1,A0202
A225,A,02,02,5,4,68.52,Block_1,A0202
A226,A,02,02,6,0,58.38,Block_1,A0202
A227,A,02,02,7,0,62.96,Block_1,A0202
A228,A,02,02,8,1,61.77,Block_1,A0202
A229,A,02,02,9,1,63.23,Block_1,A0202
A2210,A,02,02,10,3,62.43,Block_1,A0202
A311,A,03,01,1,3,78.6,Block_1,A0301
A312,A,03,01,2,1,69.36,Block_1,A0301
A313,A,03,01,3,0,60.83,Block_1,A0301
