TreeCode,ID,Treatment,Repet,Tree,Block,Yield,MNseeds,MFrDiam,MSLDate_1,MSLDate_2,MSLDate_3,PcAphidsDate_1,PcAphidsDate_2,PcAphidsDate_3
A0101,A11,A,01,01,Block_1,1.175,0.2,53.275,5.378,5.732,6.718,0,10,0
A0102,A12,A,01,02,Block_1,4.913,1.8,62.674,5.178,6.054,6.198,20,10,0
A0201,A21,A,02,01,Block_1,0,,,6.264,5.486,6.846,0,20,0
A0202,A22,A,02,02,Block_1,7.683,1.2,61.514,6.268,6.586,6.42,10,0,0
A0301,A31,A,03,01,Block_1,19.362,1.1,66.386,5.556,6.474,6.342,10,20,30
A0302,A32,A,03,02,Block_1,11.337,2,61.944,5.696,6.054,5.966,0,0,0
A0401,A41,A,04,01,Block_2,10.29,1.3,58.038,6.078,6.32,5.974,20,0,0
A0402,A42,A,04,02,Block_2,15.688,1.2,59.34,5.784,6.192,6.018,0,0,0
A0501,A51,A,05,01,Block_2,11.29,0.9,60.014,6.232,5.982,6.058,30,20,0
A0502,A52,A,05,02,Block_2,1.734,0.3,60.171,6.19,6.768,6.74,10,40,0
A0601,A61,A,06,01,Block_2,4.222,0.6,59.682,6.492,6.308,5.658,0,0,10
A0602,A62,A,06,02,Block_2,0.517,,,6.446,6.522,5.658,0,0,20
A0701,A71,A,07,01,Block_2,0.305,,,6.742,,7.116,10,20,30
A0702,A72,A,07,02,Block_2,0.35,,,6.27,5.924,6.728,0,10,20
A0801,A81,A,08,01,Block_3,1.588,1.8,61.588,5.436,6.816,6.696,0,0,0
A0802,A82,A,08,02,Block_3,0,,,5.568,,,0,0,20
A0901,A91,A,09,01,Block_3,0,,,5.8,,,20,0,10
A0902,A92,A,09,02,Block_3,7.175,0.7,57.661,6.692,6.8,5.956,0,20,0
A1001,A101,A,10,01,Block_3,0,,,,,,0,0,0
A1002,A102,A,10,02,Block_3,0,,,,,,0,0,0
A1101,A111,A,11,01,Block_3,11.15,1.3,58.499,6.462,6.216,5.834,0,20,30
A1102,A112,A,11,02,Block_3,0,,,,,,0,0,0
B0101,B11,B,01,01,Block_1,10.388,0,59.282,,,,30,10,0
B0102,B12,B,01,02,Block_1,6.913,0,60.574,,,,0,0,0
B0201,B21,B,02,01,Block_1,0.633,,,,,,0,0,0
B0202,B22,B,02,02,Block_1,8.527,0,61.455,,,,0,0,0
B0301,B31,B,03,01,Block_1,1.918,0,56.876,,,,0,0,0
B0302,B32,B,03,02,Block_1,0.264,,,,,,0,0,0
B0401,B41,B,04,01,Block_2,11.354,0,59.868,,,,30,0,0
B0402,B42,B,04,02,Block_2,0.853,0,53.66,,,,0,0,0
B0501,B51,B,05,01,Block_2,1.713,0,57.974,,,,0,0,0
B0502,B52,B,05,02,Block_2,0.939,0,49.649,,,,0,0,0
B0601,B61,B,06,01,Block_2,0,,,,,,0,0,0
B0602,B62,B,06,02,Block_2,0,,,,,,0,0,0
B0701,B71,B,07,01,Block_2,0,,,,,,10,0,0
