Code,Treatment,Repet,Tree,Date,Sprout,Aphids,Block,TreeCode
A1111,A,01,01,1,1,0,Block_1,A0101
A1112,A,01,01,1,2,0,Block_1,A0101
A1113,A,01,01,1,3,0,Block_1,A0101
A1114,A,01,01,1,4,0,Block_1,A0101
A1115,A,01,01,1,5,0,Block_1,A0101
A1116,A,01,01,1,6,0,Block_1,A0101
A1117,A,01,01,1,7,0,Block_1,A0101
A1118,A,01,01,1,8,0,Block_1,A0101
A1119,A,01,01,1,9,0,Block_1,A0101
A11110,A,01,01,1,10,0,Block_1,A0101
A1121,A,01,01,2,1,0,Block_1,A0101
A1122,A,01,01,2,2,0,Block_1,A0101
A1123,A,01,01,2,3,0,Block_1,A0101
A1124,A,01,01,2,4,1,Block_1,A0101
A1125,A,01,01,2,5,0,Block_1,A0101
A1126,A,01,01,2,6,0,Block_1,A0101
A1127,A,01,01,2,7,0,Block_1,A0101
A1128,A,01,01,2,8,0,Block_1,A0101
A1129,A,01,01,2,9,0,Block_1,A0101
A11210,A,01,01,2,10,0,Block_1,A0101
A1131,A,01,01,3,1,0,Block_1,A0101
A1132,A,01,01,3,2,0,Block_1,A0101
A1133,A,01,01,3,3,0,Block_1,A0101
A1134,A,01,01,3,4,0,Block_1,A0101
A1135,A,01,01,3,5,0,Block_1,A0101
A1136,A,01,01,3,6,0,Block_1,A0101
A1137,A,01,01,3,7,0,Block_1,A0101
A1138,A,01,01,3,8,0,Block_1,A0101
A1139,A,01,01,3,9,0,Block_1,A0101
A11310,A,01,01,3,10,0,Block_1,A0101
A1211,A,01,02,1,1,0,Block_1,A0102
A1212,A,01,02,1,2,0,Block_1,A0102
A1213,A,01,02,1,3,0,Block_1,A0102
A1214,A,01,02,1,4,0,Block_1,A0102
A1215,A,01,02,1,5,0,Block_1,A0102
A1216,A,01,02,1,6,1,Block_1,A0102
A1217,A,01,02,1,7,0,Block_1,A0102
A1218,A,01,02,1,8,0,Block_1,A0102
A1219,A,01,02,1,9,1,Block_1,A0102
